,Start,7,,End,1042,,,0,,,,,,,,,,,
Click Apply to to display data from Start to End,,,,,,FALSE,,,,,,,,,,,,,
HELP,,,,,,RECALC,,,,,,,,,,,,,
,,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,,,,,
Select data to graph,,,,,,"AUTO 
ZERO",TRUE,,,,,,,,,,,,
cid,syncdate,dwatts,nwatts,watts,cr,,,,,,,,dwatts,nwatts,,cr,,,
3,41156.92,80.59,20.5,0,71.84,,,,,,,,23.98,5.43,#N/A,71.84,,,
3,41156.96,80.59,20.5,0,71.84,,,,,,,,23.98,5.43,#N/A,71.84,,,
3,41157.00,80.59,20.5,0,71.84,,,,,,,,0,0,#N/A,71.84,,,
3,41157.04,0.01,0,0,71.84,,,,,,,,0.01,0,#N/A,71.84,,,
3,41157.08,0.01,0,2.21,71.84,,,,,,,,0.01,0,#N/A,71.84,,,
3,41157.13,0.02,0,0.38,71.84,,,,,,,,0.02,0,#N/A,71.84,,,
3,41157.14,0.02,0,0,71.84,,,,,,,,0.02,0,#N/A,71.84,,,
3,41157.17,1.48,0,10.67,71.45,,,,,,,,1.48,0,#N/A,71.45,,,
3,41157.18,4.45,2.97,10.67,70.2,,,,,,,,4.45,2.97,#N/A,70.2,,,
3,41157.19,6.76,5.28,0,69.23,,,,,,,,6.76,5.28,#N/A,69.23,,,
3,41157.21,8.85,7.37,10.78,68.34,,,,,,,,8.85,7.37,#N/A,68.34,,,
3,41157.25,11.56,10.08,0,67.21,,,,,,,,11.56,10.08,#N/A,67.21,,,
3,41157.25,11.56,10.08,0,67.21,,,,,,,,11.56,10.08,#N/A,67.21,,,
3,41157.29,11.56,10.08,0,67.21,,,,,,,,11.56,10.08,#N/A,67.21,,,
3,41157.33,11.57,10.09,0,67.2,,,,,,,,11.57,10.09,#N/A,67.2,,,
3,41157.38,11.57,10.09,0,67.2,,,,,,,,11.57,10.09,#N/A,67.2,,,
3,41157.42,11.57,10.09,0,67.2,,,,,,,,11.57,10.09,#N/A,67.2,,,
3,41157.46,11.57,10.09,0,67.2,,,,,,,,11.57,10.09,#N/A,67.2,,,
3,41157.50,11.57,10.09,0,67.2,,,,,,,,11.57,10.09,#N/A,67.2,,,
3,41157.51,11.57,10.09,0,67.2,,,,,,,,11.57,10.09,#N/A,67.2,,,
3,41157.54,11.57,10.09,0,67.2,,,,,,,,11.57,10.09,#N/A,67.2,,,
3,41157.55,11.57,10.09,0.27,67.2,,,,,,,,11.57,10.09,#N/A,67.2,,,
3,41157.58,11.57,10.09,0.27,67.2,,,,,,,,11.57,10.09,#N/A,67.2,,,
3,41157.63,11.57,10.09,0,67.2,,,,,,,,11.57,10.09,#N/A,67.2,,,
3,41157.67,12.52,11.04,11.32,66.8,,,,,,,,12.52,11.04,#N/A,66.8,,,
3,41157.71,22.25,20.77,11.32,62.69,,,,,,,,22.25,20.77,#N/A,62.69,,,
