c1,9/5/12,t8.99,n0.72,cr437.03
c1,9/5/12,t8.99,n0.72,cr437.03
c1,9/5/12,t15.38,n7.11,cr434.34
c1,9/5/12,t16.87,n8.6,cr433.71
c1,9/5/12,t16.87,n8.6,cr433.71
c1,9/5/12,t16.87,n8.6,cr433.71
c1,9/5/12,t16.87,n8.6,cr433.71
c1,9/5/12,t16.87,n8.6,cr433.71
c1,9/5/12,t19.92,n11.65,cr432.44
c1,9/5/12,t20.7,n12.43,cr432.11
c1,9/5/12,t20.79,n12.52,cr432.07
c1,9/5/12,t20.79,n12.52,cr432.07
c1,9/5/12,t20.79,n12.52,cr432.07
c1,9/5/12,t20.79,n12.52,cr432.07
c1,9/5/12,t20.8,n12.53,cr432.07
c1,9/5/12,t20.8,n12.53,cr432.07
c1,9/5/12,t22.47,n14.2,cr431.37
c1,9/5/12,t55.67,n47.4,cr417.38
c1,9/5/12,t55.67,n47.4,cr417.38
c1,9/5/12,t58.9,n50.63,cr416.01
c1,9/5/12,t58.94,n50.67,cr415.99
c1,9/5/12,t58.94,n50.67,cr415.99
c1,9/5/12,t63.95,n55.68,cr413.88
c1,9/5/12,t64.08,n55.81,cr413.82
c1,9/5/12,t64.72,n56.45,cr413.54
c1,9/5/12,t66.59,n58.32,cr412.74
c1,9/5/12,t66.59,n58.32,cr412.74
c1,9/5/12,t67.03,n58.76,cr412.62
c1,9/5/12,t67.22,n58.95,cr412.62
c1,9/6/12,t0.189999999999997,n0.189999999999997,cr412.62
c1,9/6/12,t0.379999999999995,n0.189999999999997,cr412.62
c1,9/6/12,t0.590000000000003,n0.189999999999997,cr412.62
c1,9/6/12,t1.31,n0.189999999999997,cr412.44
c1,9/6/12,t1.31,n0.189999999999997,cr412.44
c1,9/6/12,t1.31,n0.189999999999997,cr412.44
c1,9/6/12,t1.31,n0.189999999999997,cr412.44
c1,9/6/12,t1.31,n0.189999999999997,cr412.44
c1,9/6/12,t16.34,n15.2199999999999,cr406.1
c1,9/6/12,t17.1599999999999,n16.0399999999999,cr405.76
c1,9/6/12,t17.17,n16.0499999999999,cr405.76
c1,9/6/12,t17.2999999999999,n16.1799999999999,cr405.71
c1,9/6/12,t17.2999999999999,n16.1799999999999,cr405.71
c1,9/6/12,t17.2999999999999,n16.1799999999999,cr405.71
c1,9/6/12,t17.2999999999999,n16.1799999999999,cr405.71
c1,9/6/12,t17.2999999999999,n16.1799999999999,cr405.71
c1,9/6/12,t17.2999999999999,n16.1799999999999,cr405.71
